image,mask,type
vkitti/images/Scene02_30-deg-left_frames_rgb_Camera_0_00092.jpg,vkitti/masks/Scene02_30-deg-left_frames_rgb_Camera_0_00092.png,train
vkitti/images/Scene06_rain_frames_rgb_Camera_0_00013.jpg,vkitti/masks/Scene06_rain_frames_rgb_Camera_0_00013.png,train
vkitti/images/Scene01_overcast_frames_rgb_Camera_1_00392.jpg,vkitti/masks/Scene01_overcast_frames_rgb_Camera_1_00392.png,train
vkitti/images/Scene20_sunset_frames_rgb_Camera_1_00466.jpg,vkitti/masks/Scene20_sunset_frames_rgb_Camera_1_00466.png,train
vkitti/images/Scene01_fog_frames_rgb_Camera_1_00222.jpg,vkitti/masks/Scene01_fog_frames_rgb_Camera_1_00222.png,train
vkitti/images/Scene20_15-deg-left_frames_rgb_Camera_0_00034.jpg,vkitti/masks/Scene20_15-deg-left_frames_rgb_Camera_0_00034.png,train
vkitti/images/Scene06_30-deg-right_frames_rgb_Camera_0_00264.jpg,vkitti/masks/Scene06_30-deg-right_frames_rgb_Camera_0_00264.png,train
vkitti/images/Scene01_30-deg-right_frames_rgb_Camera_1_00314.jpg,vkitti/masks/Scene01_30-deg-right_frames_rgb_Camera_1_00314.png,train
vkitti/images/Scene01_15-deg-right_frames_rgb_Camera_1_00142.jpg,vkitti/masks/Scene01_15-deg-right_frames_rgb_Camera_1_00142.png,train
vkitti/images/Scene06_15-deg-left_frames_rgb_Camera_1_00186.jpg,vkitti/masks/Scene06_15-deg-left_frames_rgb_Camera_1_00186.png,train
vkitti/images/Scene20_rain_frames_rgb_Camera_0_00112.jpg,vkitti/masks/Scene20_rain_frames_rgb_Camera_0_00112.png,train
vkitti/images/Scene18_fog_frames_rgb_Camera_1_00096.jpg,vkitti/masks/Scene18_fog_frames_rgb_Camera_1_00096.png,train
vkitti/images/Scene20_rain_frames_rgb_Camera_1_00133.jpg,vkitti/masks/Scene20_rain_frames_rgb_Camera_1_00133.png,train
vkitti/images/Scene20_overcast_frames_rgb_Camera_0_00108.jpg,vkitti/masks/Scene20_overcast_frames_rgb_Camera_0_00108.png,train
vkitti/images/Scene18_clone_frames_rgb_Camera_1_00251.jpg,vkitti/masks/Scene18_clone_frames_rgb_Camera_1_00251.png,train
LostAndFound_Road/images/02_Hanns_Klemm_Str_44_000005_000100_leftImg8bit.png,LostAndFound_Road/masks/02_Hanns_Klemm_Str_44_000005_000100_leftImg8bit.png,train
vkitti/images/Scene18_15-deg-right_frames_rgb_Camera_1_00139.jpg,vkitti/masks/Scene18_15-deg-right_frames_rgb_Camera_1_00139.png,train
vkitti/images/Scene18_30-deg-right_frames_rgb_Camera_1_00230.jpg,vkitti/masks/Scene18_30-deg-right_frames_rgb_Camera_1_00230.png,train
vkitti/images/Scene20_fog_frames_rgb_Camera_1_00748.jpg,vkitti/masks/Scene20_fog_frames_rgb_Camera_1_00748.png,train
vkitti/images/Scene18_overcast_frames_rgb_Camera_0_00034.jpg,vkitti/masks/Scene18_overcast_frames_rgb_Camera_0_00034.png,train
vkitti/images/Scene01_morning_frames_rgb_Camera_0_00270.jpg,vkitti/masks/Scene01_morning_frames_rgb_Camera_0_00270.png,train
vkitti/images/Scene01_30-deg-right_frames_rgb_Camera_1_00234.jpg,vkitti/masks/Scene01_30-deg-right_frames_rgb_Camera_1_00234.png,train
vkitti/images/Scene18_clone_frames_rgb_Camera_0_00087.jpg,vkitti/masks/Scene18_clone_frames_rgb_Camera_0_00087.png,train
vkitti/images/Scene20_overcast_frames_rgb_Camera_1_00219.jpg,vkitti/masks/Scene20_overcast_frames_rgb_Camera_1_00219.png,train
vkitti/images/Scene20_rain_frames_rgb_Camera_0_00577.jpg,vkitti/masks/Scene20_rain_frames_rgb_Camera_0_00577.png,train
